2023-06-07T11:13:37.9995329: login
2023-06-07T11:13:43.1422942: listAllProducts
2023-06-07T11:13:57.3832205: listAllProductsSortedByName
2023-06-07T11:15:44.5980335: login
2023-06-07T11:16:03.7171427: addProduct
2023-06-07T11:16:05.1684213: listAllProducts
2023-06-07T11:16:48.9500848: login
2023-06-07T11:17:19.4550408: addProduct
2023-06-07T11:17:25.062698: listAllProducts
2023-06-07T11:17:30.3244083: listAllProductsSortedByName
2023-06-07T11:17:33.0735735: listAllProductsSortedByPrice
